,lyrics,artist,song,album_name,genres,spotify_id,popularity,release,danceability,energy,key,mode,valence,tempo,duration_ms
170,"Envolvimento diferente eu ensino a vocês, a vocês
Eu vou sentar e vou quicar e vou descendo de uma vez, de uma vez

Esse hit é chiclete na tua mente vai ficar

Sento, sento, sento, sento, sento e quico devagar
Sento, sento, sento, sento, sento e quico devagar
Sento, sento, sento, sento, sento e quico devagar

Tu não precisa exagerar, muito menos se empolgar

Tu vai sentar, tu vai sentar, tu vai sentar devagar
Tu vai sentar, tu vai sentar, tu vai sentar devagar
Tu vai sentar, tu vai sentar, tu vai sentar devagar

O nosso bonde é sinistro
Vem cá que eu vou te ensinar

A descer, a subir, a quicar e rebolar
A descer, a subir, a quicar e rebolar
A descer, a subir, a quicar e rebolar
A descer, a subir, a quicar e rebolar
A quicar e rebolar
A quicar e rebolar (e aê, DJ?)
Escama só de peixe! (uaaaai!)
Cebruthius!

Envolvimento diferente eu ensino a vocês, a vocês
Eu vou sentar e vou quicar e vou descendo de uma vez, de uma vez

Esse hit é chiclete na tua mente vai ficar

Sento, sento, sento, sento, sento e quico devagar
Sento, sento, sento, sento, sento e quico devagar
Sento, sento, sento, sento, sento e quico devagar

Tu não precisa exagerar, muito menos se empolgar

Tu vai sentar, tu vai sentar, tu vai sentar devagar
Tu vai sentar, tu vai sentar, tu vai sentar devagar
Tu vai sentar, tu vai sentar, tu vai sentar devagar

O nosso bonde é sinistro
Vem cá que eu vou te ensinar

A descer, a subir, a quicar e rebolar
A descer, a subir, a quicar e rebolar
A descer, a subir, a quicar e rebolar
A descer, a subir, a quicar e rebolar
A quicar e rebolar
A quicar e rebolar (e aê, DJ?)
Escama só de peixe! (uaaaai!)
Cebruthius!",MC Loma,Envolvimento,Envolvimento,"pop,electropop,brega,tecnobrega,edm",1Wolb8MRcXR2IMMaELTRpE,54.0,2018,0.852,0.902,10.0,0.0,0.965,164.97099999999998,146526
415,"Hoje enfim eu dei o fora
(Bem na hora)
Arranquei a amarra
Vou cair na farra
Tchau!

Hoje não tem fria
Não tem freio, não tem fila
Não tem fardo -
É feriado pessoal

Hoje eu dei no pé
Te dei um pé
Só peço um doce vento
E pra você, um pouco mais de sal

Hoje o sol declara o fim da guerra
E não vou dar o troco:
Tu foi muito pouco
Pra eu ficar fazendo carnaval

Hoje o mundo gira
Eu viro a mesa
O tempo passa
Ficar contigo deu despesa
Te deixar vai ser de graça

Hoje o mundo gira
Que beleza: a gente passa!
Ficar contigo deu despesa
Te deixar vai ser de graça

Hoje o mundo gira
Que beleza: a gente passa!
Ficar contigo deu despesa
E além de chato já perdeu a graça
Te deixar vai ser de graça

E se quiser saber se eu fico bem assim,
Confie em mim:
É impossível ser melhor
Muito ajuda quem não atrapalha
Em qualquer canto tem outro canalha
Eu não fico só (4x)",Bruna Caram,Feriado Pessoal,Feriado Pessoal,"pop,mpb",6RRI5NhBmqJnpaUpNOZ4JV,26.0,2009,0.8440000000000001,0.482,11.0,1.0,0.653,121.008,238840
506,"Chorando se foi quem um dia so me fez chorar
Chorando se foi quem um dia so me fez chorar

Chorando estara ao lembrar de um amor
Que um dia nao soube cuidar
Chorando estara ao lembrar de um amor
Que um dia nao soube cuidar

A recordacao vai estar com ele aonde for
A recordacao vai estar pra sempre aonde for

Danca sol e mar guardarei no olhar
O amor faz perder encontrar
Lambando estarei ao lembrar que este amor
Por um dia um instante foi rei

A recordacao vai estar com ele aonde for
A recordacao vai estar pra sempre aonde for

Chorando estara ao lembrar de um amor
Que um dia nao soube cuidar

Cancao riso e dor melodia de amor
Um momento que fica no ar...",Kaoma,Lambada - Original Version 1989,Lambada (Les originaux - Les N° 1 de l'été),latin,6xepovPqjvrkEw9Y5AMmTm,64.0,2007,0.7559999999999999,0.8,5.0,1.0,0.967,118.921,207467
594,"Me dá a mão
Me leva embora
Passou da hora, já bebi demais
Ninguém mais me considera
só velhos, bêbados e animais

Gastei tanta palavra por gastar
Agora as pobres tentam se salvar

Me pega e leva
Porque eu te amo
Andei fugindo mas estou aqui
Escutando baladas bregas

Deixar de te amar não é pra mim
Não se deixa de amar assim

Seja como for
mas seja sempre o meu amor perpétuo
onde estiver esteja
onde está
meu peito aberto

Me pega e leva
Porque eu te amo
Andei fugindo mas estou aqui
derretido, sentimental

porque deixar de amar não é normal
Não se desama dando um mero tchau

Seja como for
mas seja sempre o meu amor perpétuo
onde estiver esteja
onde está
meu peito aberto
Seja como for
mas seja sempre o meu amor perpétuo
onde estiver esteja
onde está
meu peito aberto",Kid Abelha,Peito Aberto,Pega Vida,"mpb,pop nacional,mpb,pop",4m0QjA2G8GeAmrOgQs6yoQ,32.0,2005,0.626,0.792,2.0,1.0,0.867,117.017,189933
771,"Ela riu do meu cabelo sem me conhecer
E eu que sou um cara esperto já colei pra ver
Qual que era da morena com sorriso lindo do olho azul

Começamos, papo louco sem me perceber
Sobre easy, talvez seja melhor nem dizer
Eu vim lá da Zona Oeste, ela é menina da Zona Sul

Menina mulher, que intimida atitude
De quem sabe o que quer, mesmo que o tempo mude
Ela é sol, é verão, é poema, é canção
Que alegra o meu coração

Morena, me encantei com o seu jeito de olhar
Paralisei o tempo só pra lembrar
Daquela cena que eu tirava a tua saia
E você beijava a minha boca

Me encantei com o seu jeito de olhar
Paralisei o tempo só pra lembrar
Daquela cena que eu tirava a tua saia
E você beijava a minha boca

Dali pra frente a história começou a complicar
Ela foi pro Rio embora e levou o meu colar
Até me mandou uma foto jurando que não foi por querer

Eu fingindo acreditar que tava tudo bem
Sei que quando olhar pra ele
Vai me desejar como ninguém
Morena malandra, você não me engana
Eu sei que foi por querer

E mesmo que for, isso é bom pra lembrar
Desse nosso romance, quando o peito apertar
Você pensa em mim, to pensando em você
Tá difícil de te esquecer

Morena, me encantei com o seu jeito de olhar
Paralisei o tempo só pra lembrar
Daquela cena que eu tirava a tua saia
E você beijava a minha boca

Me encantei com o seu jeito de olhar
Paralisei o tempo só pra lembrar
Daquela cena que eu tirava a tua saia
E você beijava a minha boca

Oh morena
Oh morena

Ela riu do meu cabelo sem me conhecer",Vitor Kley,Morena,Adrenalizou,pop,36UiRg8wGUOFC3E0gdyvFA,61.0,2018,0.574,0.7140000000000001,0.0,0.0,0.434,83.363,164560
819,"(Chico Buarque, 1980)
Vida, minha vida
Olha o que é que eu fiz
Deixei a fatia
Mais doce da vida
Na mesa dos homens
De vida vazia
Mas, vida, ali
Quem sabe, eu fui feliz
Vida, minha vida
Olha o que é que eu fiz
Verti minha vida
Nos cantos, na pia
Na casa dos homens
De vida vadia
Mas, vida, ali
Quem sabe, eu fui feliz
Luz, quero luz,
Sei que além das cortinas
São palcos azuis
E infinitas cortinas
Com palcos atrás
Arranca, vida
Estufa, veia
E pulsa, pulsa, pulsa,
Pulsa, pulsa mais
Mais, quero mais
Nem que todos os barcos
Recolham ao cais
Que os faróis da costeira
Me lancem sinais
Arranca, vida
Estufa, vela
Me leva, leva longe
Longe, leva mais
Vida, minha vida
Olha o que é que eu fiz
Toquei na ferida
Nos nervos, nos fios
Nos olhos dos homens
De olhos sombrios
Mas, vida, ali
Eu sei que fui feliz
André Velloso - Rio de Janeiro, Brazil",Chico Buarque,Vida,Nos Bailes Da Vida,mpb,6gXHKaJqK8IPa86n8rI6bt,26.0,2000,0.4370000000000001,0.679,2.0,0.0,0.7070000000000001,156.798,167240
945,"Você me encantou demais
Mostrou o seu coração
Do que ele é capaz
Por isso eu quero te dizer
Que a flor dessa canção
Sempre será você
Seu beijo despertou paixão
Desculpe se me apressei
Pois nada foi em vão

O que eu desejo a você
É que os deuses do amor
Estejam a te proteger
E que o verão no seu sorriso nunca acabe
E aquele medo de viver
Um dia se torne um grande amor
Vou te falar, mas acho que você já sabe
Você apaixonou, alucinou, descompassou
Meu coração lá, nah, nah, lá, nah, nah, nah

Meu coração lá, nah, nah, lá, nah, nah, nah

Você me fez sonhar demais
Chegou, sorriu, beijou
Mostrou como se faz
Por isso eu quero te falar
Que os 'Ás' dessa canção
Eu fiz só pra te dar
Seu jeito lindo fez arder

Fiquei feito vulcão
Fervendo por te ver

O que eu desejo a você
É que os deuses do amor
Estejam a te proteger
E que o verão no seu sorriso nunca acabe
E aquele medo de viver
Um dia se torne um grande amor
Vou te falar, mas acho que você já sabe
Você apaixonou, alucinou, descompassou
Meu coração lá, nah, nah, lá, nah, nah, nah
Meu coração lá, nah, nah, lá, nah, nah, nah
Meu coração lá, nah, nah, lá, nah, nah, nah
Meu coração lá, nah, nah, lá, nah, nah, nah",Natiruts,Você Me Encantou Demais,Natiruts Acústico no Rio de Janeiro,reggae,4bCcolgdC8YsXUiqRgEgRU,57.0,2012,0.727,0.56,6.0,0.0,0.441,87.973,211373
1189,"Num beijo molhado ninguém se conhece
No momento é só prazer
Depois o adeus quando o dia amanhece, eu começo a sofrer.
Ai que desperta a paixão no meu peito
E acelera o meu coração
Então não tem jeito eu descubro pra nós a melhor solução.

Num beijo molhado ninguém se conhece
No momento é só prazer
Depois o adeus quando o dia amanhece, eu começo a sofrer.
Ai que desperta a paixão no meu peito
E acelera o meu coração
Então não tem jeito eu descubro pra nós a melhor solução.

Baixa essa guarda.
Baixa essa guarda encurta a distância que existe
Entre eu e você,
Vou te falar a verdade que o meu coração
Te escolheu pra viver,
Procurei, não encontrei, mas todo amor tem seu lugar
Achei o meu, só quero me entregar.

Baixa essa guarda.
Baixa essa guarda encurta a distância que existe
Entre eu e você,
Vou te falar a verdade que o meu coração
Te escolheu pra viver,
Procurei, não encontrei, mas todo amor tem seu lugar
Achei o meu, só quero me entregar.",Grupo Revelação,Baixa Essa Guarda,Ao Vivo No Morro,pagode,0Pg5lYYzwkhioVLUpAFzTX,42.0,2009,0.389,0.906,5.0,1.0,0.789,102.13,339587
1440,"Quando eu cai e beijei o chão
Vi em seus olhos algum
Brilho de prazer
Rastejei por algum tempo
Entenda isso foi muito
Bom pra mim!
Pude encarar minhas
Verdades...
De frente pude ver
O quanto posso errar,
Falhar e ver
que pode ser muito natural

Você é covarde demais!
Pra entender
O quanto é intenso!
Agora todos os extremos
Insistir que o erro é dos
Outros!

Você devia vagar...
Sozinho por aí
E pela escuridão
E perceber, e realmente ver
Que existir é muito mais
Ainda me sinto tão cansado
Mas sei, sou muito mais forte
Já sei o que é estar só
Estou pronto pra me
Levantar
E caminhar em sua direção

Você é covarde demais!
Pra entender
O quanto é intenso!
Sei o que é o fel e o mel
Ao contrario do que pensa
Você!

Sim, você ainda pode
Me vencer
Mas você sabe que não
Vou desistir
Já provei do seu sangue em
Minha face
A dor já faz parte do total

Você é covarde demais!
Pra entender
O quanto é intenso!
Agora todos os extremos
Insistir que o erro é dos
Outros!

O tempo já não me
Importa mais
Pois ainda estou aqui!
Eu ainda estou aqui!
Aceite, estou aqui!",Dead Fish,Queda Livre,Zero e Um,hardcore,193sAxevqDGl7dZJJCnGFP,44.0,2004,0.408,0.957,0.0,1.0,0.396,195.922,218973
1732,"Você desperdiçou o amor
Partiu e nunca mais ligou
Você me complicou, usou
Fugiu com a minha paz

É assim, só ilusão
A sina de quem ama se entrega a paixão
Destinos que se atraem pra desencontrar
Segredos que se escondem pra tudo acabar

Você desperdiçou o amor
Partiu e nunca mais ligou
Você me complicou, usou
Fugiu com a minha paz

Você desperdiçou
A sua indiferença calou a paixão
Você ainda vai me procurar
Mas eu não volto
Ah, não volto

Hey, yeah, yeah

Foi assim, desilusão
A tua indiferença calou a paixão
Meus sonhos se perderam, não pude evitar
Desejos se renderam pra nunca te amar

Você desperdiçou o amor
Partiu e nunca mais ligou
Você me complicou, usou
Fugiu com a minha paz

Eu vou desafiar seu coração
Cê vai me procurar
Não volto não, não
Eu vou desafiar, provocação
Não quero mais te amar

Você desperdiçou o amor
Partiu e nunca mais ligou
Você me complicou, usou
Fugiu com a minha paz

Você desperdiçou
Partiu e nunca mais ligou
Você me complicou, usou
Fugiu com a minha paz

Eu vou desafiar seu coração
Cê vai me procurar
Não volto não, não",Sandy & Junior,Desperdiçou,Identidade,pop,1XNk2F3y4Nlc4NpjSI22HG,46.0,2003,0.763,0.653,8.0,0.0,0.79,99.992,194547
